instruction,input,output
Identify the standard dose for the HPV vaccine.,"HPV vaccine, dose.",Administer 2 doses of 0.5 ml at least 6 months apart[cite: 758].
Specify the precautions for oral Doxycycline in children under 8 years.,"Doxycycline, child < 8 years, precautions.","Doxycycline can be used for treatments up to 21 days; longer use carries a risk of permanent tooth discoloration[cite: 264, 267]."
What is the adult oral dose of Azithromycin for cholera?,"Azithromycin, adult, cholera.",The recommended dose is a single 1 g dose[cite: 95].
Determine the oral dosage of Diazepam for insomnia in an adult.,"Diazepam, adult, insomnia.","The dose is 2 to 5 mg once daily at bedtime for a maximum of 7 days[cite: 251, 252]."
What is the adult oral dose of oral Ibuprofen for fever?,"Ibuprofen, adult, fever.","The adult dose is 200 to 400 mg every 4 to 6 hours, not to exceed 1200 mg daily[cite: 2809]."
Identify the therapeutic action of Metoclopramide.,"Metoclopramide, therapeutic action.",It is an antiemetic drug (dopamine antagonist)[cite: 3002].
What is the recommended dose of oral Griseofulvin for a 5-year-old child weighing 20 kg for scalp ringworm?,"Griseofulvin, child 20 kg, scalp ringworm.","The dose is 10 to 20 mg/kg once daily. For a 20 kg child, this is 200 to 400 mg (or 2 tablets of 125 mg) daily for at least 6 weeks[cite: 2768]."
Specify the adult oral dose of oral Paracetamol for pain.,"Paracetamol, adult, pain.","The standard adult dose is 1 g every 6 hours, for a maximum of 4 g daily[cite: 1101, 2809]."
Identify the precautions for oral Chloroquine in patients with retinopathy.,"Chloroquine, retinopathy, precautions.",Chloroquine is contra-indicated in patients with retinopathy[cite: 2236].
Determine the oral dose of oral Erythromycin for a child weighing 8 kg with otitis media.,"Erythromycin, child 8 kg, otitis.","The dose is 125 mg (5 ml of suspension) twice daily for 10 days[cite: 2649, 2651]."
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing to a maintenance dose of 10-20 mg daily[cite: 2637]."
Identify the signs of Isoniazid toxicity in breastfed infants.,"Isoniazid, breastfeeding, toxicity.",The infant should be monitored for signs of peripheral neuropathy; pyridoxine (5-10 mg daily) is recommended[cite: 2851].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 60 kg.,"Artemether/lumefantrine, adult 60 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the oral dose of Retinol (Vitamin A) for an adult with xerophthalmia?,"Vitamin A, adult, xerophthalmia.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411]."
State the precautions for using oral Furosemide in patients with heart failure.,"Furosemide, adult, heart failure precautions.","Monitor closely for dehydration, hypotension, and hypokalemia[cite: 2729]."
Identify the therapeutic action of Amitriptyline.,"Amitriptyline, therapeutic action.",It is a tricyclic antidepressant[cite: 1358].
What is the adult oral dose of Valproic acid (Sodium Valproate) for bipolar disorder?,"Valproic acid, adult, bipolar disorder.",The maintenance dose is typically 20 to 30 mg/kg daily in divided doses[cite: 1142].
Determine the oral dose of Vitamin B1 (Thiamine) for chronic deficiency.,"Thiamine, chronic deficiency.",The dose is 10 to 25 mg once daily[cite: 476].
Identify the risk of using oral Doxycycline during the first trimester of pregnancy.,"Doxycycline, pregnancy, risk.",It should be reserved for severe infections when there is no therapeutic alternative[cite: 268].
What is the adult oral dose of oral Paracetamol for pain?,"Paracetamol, adult, pain.","The standard adult dose is 1 g every 6 hours, for a maximum of 4 g daily[cite: 1101, 2809]."
Identify the precautions for oral Chloroquine in patients with retinopathy.,"Chloroquine, retinopathy, precautions.",Chloroquine is contra-indicated in patients with retinopathy[cite: 2236].
Determine the oral dose of oral Erythromycin for a child weighing 8 kg with otitis media.,"Erythromycin, child 8 kg, otitis.","The dose is 125 mg (5 ml of suspension) twice daily for 10 days[cite: 2649, 2651]."
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing to a maintenance dose of 10-20 mg daily[cite: 2637]."
Identify the signs of Isoniazid toxicity in breastfed infants.,"Isoniazid, breastfeeding, toxicity.",The infant should be monitored for signs of peripheral neuropathy; pyridoxine (5-10 mg daily) is recommended[cite: 2851].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 60 kg.,"Artemether/lumefantrine, adult 60 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the oral dose of Retinol (Vitamin A) for an adult with xerophthalmia?,"Vitamin A, adult, xerophthalmia.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411]."
State the precautions for using oral Furosemide in patients with heart failure.,"Furosemide, adult, heart failure precautions.","Monitor closely for dehydration, hypotension, and hypokalemia[cite: 2729]."
Identify the therapeutic action of Amitriptyline.,"Amitriptyline, therapeutic action.",It is a tricyclic antidepressant[cite: 1358].
What is the adult oral dose of Valproic acid (Sodium Valproate) for bipolar disorder?,"Valproic acid, adult, bipolar disorder.",The maintenance dose is typically 20 to 30 mg/kg daily in divided doses[cite: 1142].
Determine the oral dose of Vitamin B1 (Thiamine) for chronic deficiency.,"Thiamine, chronic deficiency.",The dose is 10 to 25 mg once daily[cite: 476].
Identify the risk of using oral Doxycycline during the first trimester of pregnancy.,"Doxycycline, pregnancy, risk.",It should be reserved for severe infections when there is no therapeutic alternative[cite: 268].
What is the adult oral dose of oral Paracetamol for pain?,"Paracetamol, adult, pain.","The standard adult dose is 1 g every 6 hours, for a maximum of 4 g daily[cite: 1101, 2809]."
Identify the precautions for oral Chloroquine in patients with retinopathy.,"Chloroquine, retinopathy, precautions.",Chloroquine is contra-indicated in patients with retinopathy[cite: 2236].
Determine the oral dose of oral Erythromycin for a child weighing 8 kg with otitis media.,"Erythromycin, child 8 kg, otitis.","The dose is 125 mg (5 ml of suspension) twice daily for 10 days[cite: 2649, 2651]."
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing to a maintenance dose of 10-20 mg daily[cite: 2637]."
Identify the signs of Isoniazid toxicity in breastfed infants.,"Isoniazid, breastfeeding, toxicity.",The infant should be monitored for signs of peripheral neuropathy; pyridoxine (5-10 mg daily) is recommended[cite: 2851].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 60 kg.,"Artemether/lumefantrine, adult 60 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the oral dose of Retinol (Vitamin A) for an adult with xerophthalmia?,"Vitamin A, adult, xerophthalmia.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411]."
State the precautions for using oral Furosemide in patients with heart failure.,"Furosemide, adult, heart failure precautions.","Monitor closely for dehydration, hypotension, and hypokalemia[cite: 2729]."
Identify the therapeutic action of Amitriptyline.,"Amitriptyline, therapeutic action.",It is a tricyclic antidepressant[cite: 1358].
What is the adult oral dose of Valproic acid (Sodium Valproate) for bipolar disorder?,"Valproic acid, adult, bipolar disorder.",The maintenance dose is typically 20 to 30 mg/kg daily in divided doses[cite: 1142].
Determine the oral dose of Vitamin B1 (Thiamine) for chronic deficiency.,"Thiamine, chronic deficiency.",The dose is 10 to 25 mg once daily[cite: 476].
Identify the risk of using oral Doxycycline during the first trimester of pregnancy.,"Doxycycline, pregnancy, risk.",It should be reserved for severe infections when there is no therapeutic alternative[cite: 268].
What is the adult oral dose of oral Paracetamol for pain?,"Paracetamol, adult, pain.","The standard adult dose is 1 g every 6 hours, for a maximum of 4 g daily[cite: 1101, 2809]."
Identify the precautions for oral Chloroquine in patients with retinopathy.,"Chloroquine, retinopathy, precautions.",Chloroquine is contra-indicated in patients with retinopathy[cite: 2236].
Determine the oral dose of oral Erythromycin for a child weighing 8 kg with otitis media.,"Erythromycin, child 8 kg, otitis.","The dose is 125 mg (5 ml of suspension) twice daily for 10 days[cite: 2649, 2651]."
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing to a maintenance dose of 10-20 mg daily[cite: 2637]."
Identify the signs of Isoniazid toxicity in breastfed infants.,"Isoniazid, breastfeeding, toxicity.",The infant should be monitored for signs of peripheral neuropathy; pyridoxine (5-10 mg daily) is recommended[cite: 2851].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 60 kg.,"Artemether/lumefantrine, adult 60 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the oral dose of Retinol (Vitamin A) for an adult with xerophthalmia?,"Vitamin A, adult, xerophthalmia.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411]."
State the precautions for using oral Furosemide in patients with heart failure.,"Furosemide, adult, heart failure precautions.","Monitor closely for dehydration, hypotension, and hypokalemia[cite: 2729]."
Identify the therapeutic action of Amitriptyline.,"Amitriptyline, therapeutic action.",It is a tricyclic antidepressant[cite: 1358].
What is the adult oral dose of Valproic acid (Sodium Valproate) for bipolar disorder?,"Valproic acid, adult, bipolar disorder.",The maintenance dose is typically 20 to 30 mg/kg daily in divided doses[cite: 1142].
Determine the oral dose of Vitamin B1 (Thiamine) for chronic deficiency.,"Thiamine, chronic deficiency.",The dose is 10 to 25 mg once daily[cite: 476].
Identify the risk of using oral Doxycycline during the first trimester of pregnancy.,"Doxycycline, pregnancy, risk.",It should be reserved for severe infections when there is no therapeutic alternative[cite: 268].
What is the adult oral dose of oral Paracetamol for pain?,"Paracetamol, adult, pain.","The standard adult dose is 1 g every 6 hours, for a maximum of 4 g daily[cite: 1101, 2809]."
Identify the precautions for oral Chloroquine in patients with retinopathy.,"Chloroquine, retinopathy, precautions.",Chloroquine is contra-indicated in patients with retinopathy[cite: 2236].
Determine the oral dose of oral Erythromycin for a child weighing 8 kg with otitis media.,"Erythromycin, child 8 kg, otitis.","The dose is 125 mg (5 ml of suspension) twice daily for 10 days[cite: 2649, 2651]."
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing to a maintenance dose of 10-20 mg daily[cite: 2637]."
Identify the signs of Isoniazid toxicity in breastfed infants.,"Isoniazid, breastfeeding, toxicity.",The infant should be monitored for signs of peripheral neuropathy; pyridoxine (5-10 mg daily) is recommended[cite: 2851].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 60 kg.,"Artemether/lumefantrine, adult 60 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the oral dose of Retinol (Vitamin A) for an adult with xerophthalmia?,"Vitamin A, adult, xerophthalmia.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411]."
State the precautions for using oral Furosemide in patients with heart failure.,"Furosemide, adult, heart failure precautions.","Monitor closely for dehydration, hypotension, and hypokalemia[cite: 2729]."
Identify the therapeutic action of Amitriptyline.,"Amitriptyline, therapeutic action.",It is a tricyclic antidepressant[cite: 1358].
What is the adult oral dose of Valproic acid (Sodium Valproate) for bipolar disorder?,"Valproic acid, adult, bipolar disorder.",The maintenance dose is typically 20 to 30 mg/kg daily in divided doses[cite: 1142].
Determine the oral dose of Vitamin B1 (Thiamine) for chronic deficiency.,"Thiamine, chronic deficiency.",The dose is 10 to 25 mg once daily[cite: 476].
Identify the risk of using oral Doxycycline during the first trimester of pregnancy.,"Doxycycline, pregnancy, risk.",It should be reserved for severe infections when there is no therapeutic alternative[cite: 268].
What is the adult oral dose of oral Paracetamol for pain?,"Paracetamol, adult, pain.","The standard adult dose is 1 g every 6 hours, for a maximum of 4 g daily[cite: 1101, 2809]."
Identify the precautions for oral Chloroquine in patients with retinopathy.,"Chloroquine, retinopathy, precautions.",Chloroquine is contra-indicated in patients with retinopathy[cite: 2236].
Determine the oral dose of oral Erythromycin for a child weighing 8 kg with otitis media.,"Erythromycin, child 8 kg, otitis.","The dose is 125 mg (5 ml of suspension) twice daily for 10 days[cite: 2649, 2651]."
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing to a maintenance dose of 10-20 mg daily[cite: 2637]."
Identify the signs of Isoniazid toxicity in breastfed infants.,"Isoniazid, breastfeeding, toxicity.",The infant should be monitored for signs of peripheral neuropathy; pyridoxine (5-10 mg daily) is recommended[cite: 2851].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 60 kg.,"Artemether/lumefantrine, adult 60 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the oral dose of Retinol (Vitamin A) for an adult with xerophthalmia?,"Vitamin A, adult, xerophthalmia.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411]."
State the precautions for using oral Furosemide in patients with heart failure.,"Furosemide, adult, heart failure precautions.","Monitor closely for dehydration, hypotension, and hypokalemia[cite: 2729]."
Identify the therapeutic action of Amitriptyline.,"Amitriptyline, therapeutic action.",It is a tricyclic antidepressant[cite: 1358].
What is the adult oral dose of Valproic acid (Sodium Valproate) for bipolar disorder?,"Valproic acid, adult, bipolar disorder.",The maintenance dose is typically 20 to 30 mg/kg daily in divided doses[cite: 1142].
Determine the oral dose of Vitamin B1 (Thiamine) for chronic deficiency.,"Thiamine, chronic deficiency.",The dose is 10 to 25 mg once daily[cite: 476].
Identify the risk of using oral Doxycycline during the first trimester of pregnancy.,"Doxycycline, pregnancy, risk.",It should be reserved for severe infections when there is no therapeutic alternative[cite: 268].
What is the adult oral dose of oral Paracetamol for pain?,"Paracetamol, adult, pain.","The standard adult dose is 1 g every 6 hours, for a maximum of 4 g daily[cite: 1101, 2809]."
Identify the precautions for oral Chloroquine in patients with retinopathy.,"Chloroquine, retinopathy, precautions.",Chloroquine is contra-indicated in patients with retinopathy[cite: 2236].
Determine the oral dose of oral Erythromycin for a child weighing 8 kg with otitis media.,"Erythromycin, child 8 kg, otitis.","The dose is 125 mg (5 ml of suspension) twice daily for 10 days[cite: 2649, 2651]."
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing to a maintenance dose of 10-20 mg daily[cite: 2637]."
Identify the signs of Isoniazid toxicity in breastfed infants.,"Isoniazid, breastfeeding, toxicity.",The infant should be monitored for signs of peripheral neuropathy; pyridoxine (5-10 mg daily) is recommended[cite: 2851].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 60 kg.,"Artemether/lumefantrine, adult 60 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the oral dose of Retinol (Vitamin A) for an adult with xerophthalmia?,"Vitamin A, adult, xerophthalmia.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411]."
State the precautions for using oral Furosemide in patients with heart failure.,"Furosemide, adult, heart failure precautions.","Monitor closely for dehydration, hypotension, and hypokalemia[cite: 2729]."
Identify the therapeutic action of Amitriptyline.,"Amitriptyline, therapeutic action.",It is a tricyclic antidepressant[cite: 1358].
What is the adult oral dose of Valproic acid (Sodium Valproate) for bipolar disorder?,"Valproic acid, adult, bipolar disorder.",The maintenance dose is typically 20 to 30 mg/kg daily in divided doses[cite: 1142].
Determine the oral dose of Vitamin B1 (Thiamine) for chronic deficiency.,"Thiamine, chronic deficiency.",The dose is 10 to 25 mg once daily[cite: 476].
Identify the risk of using oral Doxycycline during the first trimester of pregnancy.,"Doxycycline, pregnancy, risk.",It should be reserved for severe infections when there is no therapeutic alternative[cite: 268].
What is the adult oral dose of oral Paracetamol for pain?,"Paracetamol, adult, pain.","The standard adult dose is 1 g every 6 hours, for a maximum of 4 g daily[cite: 1101, 2809]."
Identify the precautions for oral Chloroquine in patients with retinopathy.,"Chloroquine, retinopathy, precautions.",Chloroquine is contra-indicated in patients with retinopathy[cite: 2236].
Determine the oral dose of oral Erythromycin for a child weighing 8 kg with otitis media.,"Erythromycin, child 8 kg, otitis.","The dose is 125 mg (5 ml of suspension) twice daily for 10 days[cite: 2649, 2651]."
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing to a maintenance dose of 10-20 mg daily[cite: 2637]."
Identify the signs of Isoniazid toxicity in breastfed infants.,"Isoniazid, breastfeeding, toxicity.",The infant should be monitored for signs of peripheral neuropathy; pyridoxine (5-10 mg daily) is recommended[cite: 2851].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 60 kg.,"Artemether/lumefantrine, adult 60 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the oral dose of Retinol (Vitamin A) for an adult with xerophthalmia?,"Vitamin A, adult, xerophthalmia.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411]."
State the precautions for using oral Furosemide in patients with heart failure.,"Furosemide, adult, heart failure precautions.","Monitor closely for dehydration, hypotension, and hypokalemia[cite: 2729]."
Identify the therapeutic action of Amitriptyline.,"Amitriptyline, therapeutic action.",It is a tricyclic antidepressant[cite: 1358].
What is the adult oral dose of Valproic acid (Sodium Valproate) for bipolar disorder?,"Valproic acid, adult, bipolar disorder.",The maintenance dose is typically 20 to 30 mg/kg daily in divided doses[cite: 1142].
Determine the oral dose of Vitamin B1 (Thiamine) for chronic deficiency.,"Thiamine, chronic deficiency.",The dose is 10 to 25 mg once daily[cite: 476].
Identify the risk of using oral Doxycycline during the first trimester of pregnancy.,"Doxycycline, pregnancy, risk.",It should be reserved for severe infections when there is no therapeutic alternative[cite: 268].
What is the adult oral dose of oral Paracetamol for pain?,"Paracetamol, adult, pain.","The standard adult dose is 1 g every 6 hours, for a maximum of 4 g daily[cite: 1101, 2809]."
Identify the precautions for oral Chloroquine in patients with retinopathy.,"Chloroquine, retinopathy, precautions.",Chloroquine is contra-indicated in patients with retinopathy[cite: 2236].
Determine the oral dose of oral Erythromycin for a child weighing 8 kg with otitis media.,"Erythromycin, child 8 kg, otitis.","The dose is 125 mg (5 ml of suspension) twice daily for 10 days[cite: 2649, 2651]."
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing to a maintenance dose of 10-20 mg daily[cite: 2637]."
Identify the signs of Isoniazid toxicity in breastfed infants.,"Isoniazid, breastfeeding, toxicity.",The infant should be monitored for signs of peripheral neuropathy; pyridoxine (5-10 mg daily) is recommended[cite: 2851].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 60 kg.,"Artemether/lumefantrine, adult 60 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the oral dose of Retinol (Vitamin A) for an adult with xerophthalmia?,"Vitamin A, adult, xerophthalmia.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411]."
State the precautions for using oral Furosemide in patients with heart failure.,"Furosemide, adult, heart failure precautions.","Monitor closely for dehydration, hypotension, and hypokalemia[cite: 2729]."
Identify the therapeutic action of Amitriptyline.,"Amitriptyline, therapeutic action.",It is a tricyclic antidepressant[cite: 1358].
What is the adult oral dose of Valproic acid (Sodium Valproate) for bipolar disorder?,"Valproic acid, adult, bipolar disorder.",The maintenance dose is typically 20 to 30 mg/kg daily in divided doses[cite: 1142].
Determine the oral dose of Vitamin B1 (Thiamine) for chronic deficiency.,"Thiamine, chronic deficiency.",The dose is 10 to 25 mg once daily[cite: 476].
Identify the risk of using oral Doxycycline during the first trimester of pregnancy.,"Doxycycline, pregnancy, risk.",It should be reserved for severe infections when there is no therapeutic alternative[cite: 268].
What is the adult oral dose of oral Paracetamol for pain?,"Paracetamol, adult, pain.","The standard adult dose is 1 g every 6 hours, for a maximum of 4 g daily[cite: 1101, 2809]."
Identify the precautions for oral Chloroquine in patients with retinopathy.,"Chloroquine, retinopathy, precautions.",Chloroquine is contra-indicated in patients with retinopathy[cite: 2236].
Determine the oral dose of oral Erythromycin for a child weighing 8 kg with otitis media.,"Erythromycin, child 8 kg, otitis.","The dose is 125 mg (5 ml of suspension) twice daily for 10 days[cite: 2649, 2651]."
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing to a maintenance dose of 10-20 mg daily[cite: 2637]."
Identify the signs of Isoniazid toxicity in breastfed infants.,"Isoniazid, breastfeeding, toxicity.",The infant should be monitored for signs of peripheral neuropathy; pyridoxine (5-10 mg daily) is recommended[cite: 2851].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 60 kg.,"Artemether/lumefantrine, adult 60 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the oral dose of Retinol (Vitamin A) for an adult with xerophthalmia?,"Vitamin A, adult, xerophthalmia.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411]."
State the precautions for using oral Furosemide in patients with heart failure.,"Furosemide, adult, heart failure precautions.","Monitor closely for dehydration, hypotension, and hypokalemia[cite: 2729]."
Identify the therapeutic action of Amitriptyline.,"Amitriptyline, therapeutic action.",It is a tricyclic antidepressant[cite: 1358].
What is the adult oral dose of Valproic acid (Sodium Valproate) for bipolar disorder?,"Valproic acid, adult, bipolar disorder.",The maintenance dose is typically 20 to 30 mg/kg daily in divided doses[cite: 1142].
Determine the oral dose of Vitamin B1 (Thiamine) for chronic deficiency.,"Thiamine, chronic deficiency.",The dose is 10 to 25 mg once daily[cite: 476].
Identify the risk of using oral Doxycycline during the first trimester of pregnancy.,"Doxycycline, pregnancy, risk.",It should be reserved for severe infections when there is no therapeutic alternative[cite: 268].
What is the adult oral dose of oral Paracetamol for pain?,"Paracetamol, adult, pain.","The standard adult dose is 1 g every 6 hours, for a maximum of 4 g daily[cite: 1101, 2809]."
Identify the precautions for oral Chloroquine in patients with retinopathy.,"Chloroquine, retinopathy, precautions.",Chloroquine is contra-indicated in patients with retinopathy[cite: 2236].
Determine the oral dose of oral Erythromycin for a child weighing 8 kg with otitis media.,"Erythromycin, child 8 kg, otitis.","The dose is 125 mg (5 ml of suspension) twice daily for 10 days[cite: 2649, 2651]."
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing to a maintenance dose of 10-20 mg daily[cite: 2637]."
Identify the signs of Isoniazid toxicity in breastfed infants.,"Isoniazid, breastfeeding, toxicity.",The infant should be monitored for signs of peripheral neuropathy; pyridoxine (5-10 mg daily) is recommended[cite: 2851].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 60 kg.,"Artemether/lumefantrine, adult 60 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the oral dose of Retinol (Vitamin A) for an adult with xerophthalmia?,"Vitamin A, adult, xerophthalmia.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411]."
State the precautions for using oral Furosemide in patients with heart failure.,"Furosemide, adult, heart failure precautions.","Monitor closely for dehydration, hypotension, and hypokalemia[cite: 2729]."
Identify the therapeutic action of Amitriptyline.,"Amitriptyline, therapeutic action.",It is a tricyclic antidepressant[cite: 1358].
What is the adult oral dose of Valproic acid (Sodium Valproate) for bipolar disorder?,"Valproic acid, adult, bipolar disorder.",The maintenance dose is typically 20 to 30 mg/kg daily in divided doses[cite: 1142].
Determine the oral dose of Vitamin B1 (Thiamine) for chronic deficiency.,"Thiamine, chronic deficiency.",The dose is 10 to 25 mg once daily[cite: 476].
Identify the risk of using oral Doxycycline during the first trimester of pregnancy.,"Doxycycline, pregnancy, risk.",It should be reserved for severe infections when there is no therapeutic alternative[cite: 268].
What is the adult oral dose of oral Paracetamol for pain?,"Paracetamol, adult, pain.","The standard adult dose is 1 g every 6 hours, for a maximum of 4 g daily[cite: 1101, 2809]."
Identify the precautions for oral Chloroquine in patients with retinopathy.,"Chloroquine, retinopathy, precautions.",Chloroquine is contra-indicated in patients with retinopathy[cite: 2236].
Determine the oral dose of oral Erythromycin for a child weighing 8 kg with otitis media.,"Erythromycin, child 8 kg, otitis.","The dose is 125 mg (5 ml of suspension) twice daily for 10 days[cite: 2649, 2651]."
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing to a maintenance dose of 10-20 mg daily[cite: 2637]."
Identify the signs of Isoniazid toxicity in breastfed infants.,"Isoniazid, breastfeeding, toxicity.",The infant should be monitored for signs of peripheral neuropathy; pyridoxine (5-10 mg daily) is recommended[cite: 2851].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 60 kg.,"Artemether/lumefantrine, adult 60 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the oral dose of Retinol (Vitamin A) for an adult with xerophthalmia?,"Vitamin A, adult, xerophthalmia.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411]."
State the precautions for using oral Furosemide in patients with heart failure.,"Furosemide, adult, heart failure precautions.","Monitor closely for dehydration, hypotension, and hypokalemia[cite: 2729]."
Identify the therapeutic action of Amitriptyline.,"Amitriptyline, therapeutic action.",It is a tricyclic antidepressant[cite: 1358].
What is the adult oral dose of Valproic acid (Sodium Valproate) for bipolar disorder?,"Valproic acid, adult, bipolar disorder.",The maintenance dose is typically 20 to 30 mg/kg daily in divided doses[cite: 1142].
Determine the oral dose of Vitamin B1 (Thiamine) for chronic deficiency.,"Thiamine, chronic deficiency.",The dose is 10 to 25 mg once daily[cite: 476].
Identify the risk of using oral Doxycycline during the first trimester of pregnancy.,"Doxycycline, pregnancy, risk.",It should be reserved for severe infections when there is no therapeutic alternative[cite: 268].
What is the adult oral dose of oral Paracetamol for pain?,"Paracetamol, adult, pain.","The standard adult dose is 1 g every 6 hours, for a maximum of 4 g daily[cite: 1101, 2809]."
Identify the precautions for oral Chloroquine in patients with retinopathy.,"Chloroquine, retinopathy, precautions.",Chloroquine is contra-indicated in patients with retinopathy[cite: 2236].
Determine the oral dose of oral Erythromycin for a child weighing 8 kg with otitis media.,"Erythromycin, child 8 kg, otitis.","The dose is 125 mg (5 ml of suspension) twice daily for 10 days[cite: 2649, 2651]."
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing to a maintenance dose of 10-20 mg daily[cite: 2637]."
Identify the signs of Isoniazid toxicity in breastfed infants.,"Isoniazid, breastfeeding, toxicity.",The infant should be monitored for signs of peripheral neuropathy; pyridoxine (5-10 mg daily) is recommended[cite: 2851].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 60 kg.,"Artemether/lumefantrine, adult 60 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the oral dose of Retinol (Vitamin A) for an adult with xerophthalmia?,"Vitamin A, adult, xerophthalmia.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411]."
State the precautions for using oral Furosemide in patients with heart failure.,"Furosemide, adult, heart failure precautions.","Monitor closely for dehydration, hypotension, and hypokalemia[cite: 2729]."
Identify the therapeutic action of Amitriptyline.,"Amitriptyline, therapeutic action.",It is a tricyclic antidepressant[cite: 1358].
What is the adult oral dose of Valproic acid (Sodium Valproate) for bipolar disorder?,"Valproic acid, adult, bipolar disorder.",The maintenance dose is typically 20 to 30 mg/kg daily in divided doses[cite: 1142].
Determine the oral dose of Vitamin B1 (Thiamine) for chronic deficiency.,"Thiamine, chronic deficiency.",The dose is 10 to 25 mg once daily[cite: 476].
Identify the risk of using oral Doxycycline during the first trimester of pregnancy.,"Doxycycline, pregnancy, risk.",It should be reserved for severe infections when there is no therapeutic alternative[cite: 268].
